,Review,Rating,Author
18,"My husband and I stayed here during the Eaux Claires music festival. The hotel has a really cool vibe and is in an area of the city that is being developed like crazy so it's definitely setting some trends for area businesses to live up to.It was a monstrously busy weekend for the hotel with all of the events surrounding the festival and almost everything went smoothly and we felt well taken care of. We did have a couple hiccups with our stay, but I could tell it was not common in the way that management handled things. Allison was super attentive to our issues and went out of her way to make it right. We would definitely recommend staying at The Oxbow and plan to do so again the next time we find ourselves in North Western WI. If you stay here, make it a point to check out the activities they offer in the area through Oxbow Outfitters, the fancy ass cocktails at The Lakley (attached restaurant), the record selection in the front lobby (3 free rentals a night), and make sure you ask the friendly and knowledgeable staff for recommendations on everything awesome to do in Eau Claire. You can tell that folks in EC love their town and they want you to love it too.",4,Melissa S.
19,"When you see the phrase ""hotel restaurant"" as part of a restaurant review, it is almost always in the context of something like, ""... but it's not bad for a hotel restaurant."" Hotel restaurants bring to mind prepackaged food sold at an exorbitant mark up because the owners know they have a captive audience. You know, the kind of place that serves fast-food quality hamburgers for $15. So when we heard that The Oxbow was going to have its own restaurant, we quietly hoped that they would not become another example of the ""hotel restaurant"" stereotype.The Lakely, the new restaurant in the Oxbow, clearly throws that stereotype out the window. Helmed by renowned local chef Nathan Berg, The Lakely offers an innovative yet compact menu that should satisfy the needs of any diner in the Chippewa Valley. We decided, being the adventurous eaters that we are, that we would visit The Lakely on opening night. Obviously, the first night a restaurant is open is always an adventure, but we were remarkably surprised at how smoothly the service went over the course of the evening. Jimmy, our server, did an excellent job of making sure that the pace of our meal perfect, and his attentiveness to our table should be commended. We were also impressed with the speed of the bar service under lead bartender Jorja. Our beverages were promptly refilled despite the complexities of some of the cocktails on the menu.As a group, we sampled virtually the entire menu and we were, to say the least, impressed. While we could wax poetic about essentially everything we ordered, four menu items truly stood out. On the starter list, the roasted squash soup had an amazingly smooth texture and intensely rich flavor. Another starter of note was Berg's take on traditional Canadian comfort food, poutine. The substitution of thinly sliced potatoes for fries and the savory mushroom gravy turned this appetizer into a clear winner. Among the main courses, the clear consensus of the group was that the Hot Dish Au Canard was one we would definitely order again. The perfectly cooked duck combined with wilted greens, wild rice, and sarvecchio cream sauce was a wonderful, savory feature on the menu. Another star on the menu was the Wild Rice Kofta, an outstanding vegetarian option with a spiced tomato cranberry sauce. The Kofta was an eye-opening revelation, and proof that not all restaurants in Eau Claire force vegetarians to eat piles of steamed vegetables. Finally, we would be remiss if we did not mention the cocktail menu at The Lakely. Under the creative direction of lead bartender Jorja, there are several innovative beverages on the menu worthy of your attention. Two that stood out for us were the gin-based Corpse Reviver and the Maple Bourbon Sour, both of which became fast favorites among the group. The clear consensus of the group was that The Lakely was offering a menu that is truly unique in the Chippewa Valley. Nathan Berg's innovative food and his commitment to local producers, combined with a fun and creative cocktail menu, as instantly turned The Lakely into one of our go-to spots.---Geoffrey D. Peterson",5,Geoff P.
20,"Nicely appointed boutique hotel. We stayed two nights the staff was very helpful and friendly. They have a great outdoor patio with fireplaces. Amazing craft cocktails and food. We'd definitely stay there again if we were in the area.  Few minor things that would prevent this from being a five ...lack of counterspace for toiletries, aside from natural light there's not a whole lot of light to put on make up or get ready to go out and also some pretty interesting parking if you do not park in the flat lot.  For a few nights it was no big deal. Completely enjoyed our stay.",4,Laura Z.
21,"First time staying at the Oxbow.  I loved the atmosphere and the location.  We were able to walk to our favorite places.  (Fyi for the best burgers ever, walk to the Amber Inn).  First and foremost, the customer service and staff are probably the nicest and most accommodating I've experienced.  I give the staff 5 stars.  I'd stay at the Oxbow for that reason alone.  I have a couple of gripes but they're not reasons to not stay there again.  Here are the compliments.  We stayed in the suite.  It was very spacious which was great.  The bed was comfortable and I appreciated the large TV in the bedroom.  The ""living area"" was convenient because we had a couple friends over to watch the Badger game.  We had a great view of Eau Claire.Now some of the slight annoyances.  There were no hooks or holders for towels.  The vanity was small so we really couldn't lay our hand towels on there.  Please put a couple of hooks near the vanity.  The door to the bathroom was a rolling barn door.  It fit the decor but it's not really functional.  Now, I was there with my husband so neither of us cared about sounds.  Just be advised that the door doesn't give one privacy.  But maybe millennials are above that and good for them if they are.  Overall, it was fun and an enjoyable experience.  I'd stay there over other ""typical"" motels around Eau Claire.",4,Sara T.
22,"Wow! Really cool place and AWESOME staff! Tristin, Hannah, Shania, and CV were the best!!! I didn't get the bar staff names, but they were excellent too! The room was super clean and fresh, even had a record player too! The bar was right next to check in and had a cool group singing away! Great selection of IPA's and since I got there late they only had meat and cheese platters that were really tasty and perfect! Was not expecting this and way better than staying at the Hampton Inn!! LOL Keep up the great work! See you next time!",5,Tom D.
23,"We spent two nights at the Oxbow in a King Balcony room. The room was average in size, but the decor is a cool Wisconsin retro look right down to the record player your room. The bed was perfect and the room very comfortable. Really helpful and friendly staff, great coffee in the lobby every morning and, amazingly, they had bikes we could take out onto the Chippewa River trail which is just two blocks from the hotel. We also so had dinner at their restaurant, The Lakely, and even though we arrived 30 minutes before they were done serving our waiter was a pro and didn't rush us. Great food! This is a real gem of a place to stay, can't wait to come back.",5,Sara S.
24,Crappy hotel. Overpriced. Hot water ran out half way through my shower. Sink would not hold water. Dirty hotel.  Looks like the white tile in the bathroom hasn't been washed since last year.  There are better options in Eau Claire.,1,Russ H.
25,This hotel really needs updated. The room smelled like mildew and floors were dirty.  The restaurant food was marginal. There are better hotels in the area.,1,Denise H.
26,"Wow, what a delightful surprise! A trendy renovation of an old building, coupled with music, art and a delicious breakfast (smoked trout omelette with spinach and chèvre!). I will be back here for sure!",5,Carrie B.
27,"We stayed here for a girls getaway and I cannot say enough fabulous things about this place! From the desk staff (hi Kayla and Daniel!) to the bar staff (hi Logan!), it was TOP NOTCH!  We felt appreciated by everyone that worked there, the vibe is incredible, the food was great and the drinks?!  Swoon worthy! Staff had awesome recommendations for us for eating, dining, exploring, dancing, karaoking (is that a word?!) and now I keep telling all of my friends about it. Who knew it would be so awesome?! Can't wait to go back!",5,Annie L.
28,"The staff was extremely nice, and the place is better than advertised. For the same price as a chain, why wouldn't you stay somewhere like this?",5,Joe O.
29,"I stayed here in March for a winter weekend for a gals get-away.  It had many bonuses. Location was close to shops and theater.  The path to the river walk is just across the street.  The food in the restaurant was wonderful for both breakfast and dinner.  Because it was winter and still cold, it was perfect to have the restaurant on site. They were not serving lunch, maybe because it was off season.  Excellent service from mostly college age young people.  There is an elevator and hot coffee and tea in the lobby all day.  We are 2 middle aged / older ladies and we had room 33, on the 3rd floor of the main older building above the restaurant.  It was a queen suite room with a bedroom and a sitting room.  All new and lovely.  It does work for 2 friends as they give you bedding to make up the sitting room futon couch in to a single bed.  The bedroom has no door, so it's not private.  Whoever sleeps in the sitting room has to walk into the bedroom to use the bathroom.  The sink is outside the bathroom between the 2 rooms. This worked fine for us.  We would stay there again.",4,Martha M.
30,"Great place for a weekend stay, and the food at The Lakely is superb. The menu is smaller than the norm but there is more than enough variety to satisfy anyone's taste. Start with the squash soup and you won't go wrong, and if you show up Thursday through Saturday they have live jazz on stage. And I can't say enough about the drinks too.",5,James H.
31,Fantastic minication at the Oxbow.  From the 50's deco decor to the record player in the room complete with LP lending library in the lobby. The Lakely was a great spot for a nightcap. Craft cocktails built by the best mixologists. Can't wait to come bacj,5,Debbie B.
32,"Interesting hotel in the heart of downtown Eau Claire. Attentive staff, quaint rooms and an attached restaurant with live music. Very close to UWEC. Give it a try.",4,Keith W.
33,"Cozy environment, excellent service and a generally comfortable and enjoyable experience.",5,Heather S.
34,"We celebrated my birthday weekend with a weekend trip to The Oxley and we couldn't have enjoyed ourselves more. From the free upgrade, to the beautifully designed and clean rooms, extremely comfortable bed and bedding, it truly was a wonderfully relaxing weekend! Check out The Lakely for a bite, phenomenal food!",5,Megan K.
35,"Wonderful hotel and bar. Unique, thoughtful, homey. Best sleep I've had in a hotel bed. Love the vinyl record players in every room. Staff is super friendly. Cocktails are crafted with precision, a joy to watch bartenders crating the cocktail, then me consuming the deliciousness. Live jazz music regularly in the bar is a joy. You can tell lots of thought was put into every detail of this place and the staff really care and show passion for what they're doing. Complimentary coffee is quite good as well. Stay here and/or drink here whenever you are in Eau Claire.",5,T V.
36,"We booked a couple of rooms earlier this week and had a great (first) visit to Eau Claire.  I skimmed through the other reviews and agree with most of what I read.  To these I'll only add that the place does have a good vibe, the kind that makes you smile a little with each distinctive little touch you discover.  We had one room in both parts of the hotel.  While similar, there were different furnishings in the rooms, which gave them each a distinctive feel. Yes, the staff is great, friendly and helpful - honestly invested in the service they provide.  Yes, the Lakely is a great resource. The food is interesting, locally sourced, and well prepared.  The cocktails are (indeed) tasty, and the bartender is appropriately eccentric.  There were also a couple of local regulars in the bar who were friendly and engaging. The terrace was delightful on the evening of our stay (perhaps a sun shade over a portion would be a welcome addition on a hot afternoon).  We are headed back to Eau Claire in the fall, and will definitely book another night or two at the Oxbow Hotel.",5,Chris R.
